taxonomy,Lon,Lat,BALoccupants,BALoccupantsSTD,BALstructural,BALstructuralSTD,BELoccupants,BELoccupantsSTD,BELstructural,BELstructuralSTD,CHoccupants,CHoccupantsSTD,CHstructural,CHstructuralSTD,EAoccupants,EAoccupantsSTD,EAstructural,EAstructuralSTD,NFoccupants,NFoccupantsSTD,NFstructural,NFstructuralSTD,SToccupants,SToccupantsSTD,STstructural,STstructuralSTD,SFoccupants,SFoccupantsSTD,SFstructural,SFstructuralSTD,SUoccupants,SUoccupantsSTD,SUstructural,SUstructuralSTD,ISKoccupants,ISKoccupantsSTD,ISKstructural,ISKstructuralSTD,ISHAMoccupants,ISHAMoccupantsSTD,ISHAMstructural,ISHAMstructuralSTD
MUR+ADO/LWAL+DNO/FW/HBET:1,74.6448,42.9716,0.00762332,,16925.3,,0.0746233,,89694.9,,0.222094,,203460.0,,0.10764000000000001,,117028.0,,1.41104,,843974.0,,0.366371,,299249.0,,0.18235099999999999,,174234.0,,0.00448699,,11856.6,,0.600201,,438306.0,,0.5995020000000001,,437909.0,
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.6448,42.9716,0.0223454,,259097.0,,0.268327,,1400910.0,,0.893272,,3270770.0,,0.403592,,1844140.0,,7.10533,,15124400.0,,1.5508600000000001,,4902640.0,,0.721112,,2785600.0,,0.012518600000000001,,181347.0,,2.6838599999999997,,7358910.0,,2.68038,,7351770.0,
CR+PC/LWAL+DUC/FC/HBET:1-16,74.6141,42.9646,0.000417051,,4107.9,,0.00486324,,24438.6,,0.0172614,,54450.1,,0.00588676,,27052.0,,0.20925700000000003,,273188.0,,0.033423,,83088.7,,0.0127105,,44359.8,,0.00030203900000000004,,3252.96,,0.0672555,,130261.0,,0.0669757,,129902.0,
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.6141,42.9646,0.018834599999999996,,38268.9,,0.217354,,193501.0,,0.680421,,417952.0,,0.299772,,237836.0,,3.3224,,1266480.0,,1.12263,,592472.0,,0.581321,,373144.0,,0.025409900000000003,,46894.1,,1.89563,,856661.0,,1.88968,,854743.0,
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.6141,42.9646,0.00135076,,8245.09,,0.012748700000000002,,44841.8,,0.0351197,,93544.7,,0.0146863,,49145.5,,0.199453,,338489.0,,0.057931399999999994,,135539.0,,0.0274221,,77553.6,,0.00101087,,6643.36,,0.09565900000000001,,196674.0,,0.0953746,,196236.0,
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.6141,42.9646,9.85478e-09,,280.243,,6.51336e-05,,7067.66,,0.000640935,,28581.9,,9.52271e-05,,8623.52,,0.0285529,,422134.0,,0.00178237,,57443.7,,0.000406432,,21002.9,,0.0,,178.696,,0.00490802,,117926.0,,0.00487707,,117389.0,
MUR+ADO/LWAL+DNO/FW/HBET:1,74.6141,42.9646,0.00804783,,14283.0,,0.0687579,,76400.9,,0.174484,,155404.0,,0.0780174,,83412.7,,0.82406,,513811.0,,0.275267,,221140.0,,0.138757,,129690.0,,0.00607036,,11515.0,,0.432175,,313400.0,,0.43102299999999993,,312750.0,
CR+PC/LWAL+DUC/FC/HBET:1-16,74.5502,42.9466,0.00016908,,4341.91,,0.00697312,,35873.3,,0.0205328,,66082.1,,0.00423718,,26183.0,,0.0900946,,162893.0,,0.0361921,,93120.3,,0.0128293,,49533.9,,0.000191909,,4604.69,,0.0696132,,139500.0,,0.0650707,,133753.0,
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.5502,42.9466,0.0125115,,21620.6,,0.187401,,137086.0,,0.456761,,249442.0,,0.1541,,118960.0,,0.974505,,419815.0,,0.685604,,330686.0,,0.35070100000000004,,207164.0,,0.0212761,,31844.3,,1.09327,,458639.0,,1.04249,,443549.0,
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.5502,42.9466,0.0007047210000000001,,5226.38,,0.0120929,,38579.4,,0.0260341,,66596.2,,0.00811662,,28645.9,,0.0711775,,139428.0,,0.038892800000000005,,89432.5,,0.0183789,,51425.3,,0.00076175,,5528.95,,0.060764599999999995,,124245.0,,0.058094799999999995,,120201.0,
