taxonomy,Lon,Lat,BALcomplete,BALcompleteSTD,BELcomplete,BELcompleteSTD,CHcomplete,CHcompleteSTD,EAcomplete,EAcompleteSTD,NFcomplete,NFcompleteSTD,STcomplete,STcompleteSTD,SFcomplete,SFcompleteSTD,SUcomplete,SUcompleteSTD,ISKcomplete,ISKcompleteSTD,ISHAMcomplete,ISHAMcompleteSTD,BALext,BALmod,BALslight,BALno,BELext,BELmod,BELslight,BELno,CHext,CHmod,CHslight,CHno,EAext,EAmod,EAslight,EAno,NFext,NFmod,NFslight,NFno,SText,STmod,STslight,STno,SFext,SFmod,SFslight,SFno,SUext,SUmod,SUslight,SUno,ISKext,ISKmod,ISKslight,ISKno,ISHAMext,ISHAMmod,ISHAMslight,ISHAMno
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.6448,42.9716,0.030688,,0.326359,,1.242008,,0.5914659999999999,,8.731361,,2.174173,,1.107266,,0.03399,,3.8206599999999997,,3.8166629999999997,,0.059039,0.31249499999999997,3.5545430000000002,31.04324,0.503709,1.7374560000000001,9.730663999999999,22.701810000000002,1.3344049999999998,3.61312,13.64998,15.16049,0.758163,2.412227,11.444280000000001,19.793860000000002,4.286579,7.310687,11.27109,3.4002790000000003,1.939079,4.759784,14.6294,11.49757,1.215655,3.3733129999999996,13.259529999999998,16.04423,0.072983,0.354578,3.9575720000000003,30.58088,2.770322,6.104903,14.488620000000001,7.815499000000001,2.7686509999999998,6.10157,14.486620000000002,7.8265009999999995
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.6448,42.9716,0.0,,0.004999,,0.059305,,0.012658,,4.079764,,0.148927,,0.042306,,0.0,,0.392156,,0.391823,,0.0,0.000334,0.078037,59.92163000000001,0.016664,0.065658,0.919651,58.993030000000005,0.07763,0.291891,3.777521,55.79365,0.026989,0.109294,1.513465,58.337590000000006,2.976515,6.923181,21.2877,24.73284,0.175261,0.712677,6.702031,52.2611,0.061304,0.229233,3.027502,56.63965,0.0,0.0,0.041656,59.95834,0.473437,1.7174189999999998,11.09112,46.32587,0.472104,1.711754,11.08245,46.34187
MUR+ADO/LWAL+DNO/FW/HBET:1,74.6448,42.9716,0.573651,,5.744362000000001,,17.08246,,8.267759,,108.361,,28.182,,14.033079999999998,,0.342535,,46.130340000000004,,46.08303,,0.775417,2.879914,22.1776,225.5934,4.983674,13.562129999999998,61.509640000000005,166.2002,11.13417,25.3684,82.03416,116.3808,6.548798000000001,16.72026,68.11215,152.351,28.5123,41.13174,55.31919,18.6758,15.622060000000001,32.57622,87.38239,88.23733,9.560371,22.6033,78.0452,127.7581,0.49118100000000003,2.0091360000000003,17.42484,231.7323,21.176820000000003,39.19685,85.54601,59.94996999999999,21.14949,39.1855,85.56300999999999,60.018969999999996
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.6448,42.9716,0.412921,,4.975655000000001,,16.36611,,7.450492999999999,,129.8427,,28.361490000000003,,13.217929999999999,,0.21855500000000003,,49.08447,,49.02816,,0.807422,3.345825,29.97738,338.4565,5.7252279999999995,17.80141,89.18425,255.3135,14.18009,35.85229,125.2601,181.3414,7.760460000000001,22.43811,100.5069,234.844,47.23345,70.69788,94.43936,30.786640000000002,21.02757,47.85215,136.7035,139.0553,12.026689999999999,31.56986,117.8335,198.352,0.502162,2.300378,23.22233,346.7566,29.88413,60.91509,137.1935,95.92279,29.860120000000002,60.8821,137.1978,96.03179
CR+PC/LWAL+DUC/FC/HBET:1-16,74.6141,42.9646,0.0,,0.001999,,0.005664,,0.001998,,0.066312,,0.008662,,0.003998,,0.0,,0.020322,,0.020322,,0.0,0.002001,0.036017,0.961982,0.001667,0.009664,0.166325,0.8203450000000001,0.005997,0.034983,0.298607,0.654749,0.003,0.012993,0.179282,0.8027270000000001,0.052326,0.172311,0.497037,0.21201399999999998,0.014991,0.048653,0.383931,0.543763,0.004664,0.02565,0.26257800000000003,0.70311,0.0,0.001332,0.029659,0.969009,0.027322,0.075976,0.464941,0.41143900000000005,0.027322,0.075643,0.464606,0.41210699999999995
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.6141,42.9646,0.01167,,0.14866600000000002,,0.462531,,0.212921,,2.130301,,0.7528050000000001,,0.39318000000000003,,0.017326,,1.22573,,1.222397,,0.025014,0.111722,1.072957,7.778637,0.197325,0.573348,2.845353,5.235308,0.414583,1.080151,3.724503,3.318232,0.22995300000000002,0.68752,3.095663,4.773943,1.08305,1.902436,3.0239990000000003,0.8602139999999999,0.567585,1.410468,3.8306519999999997,2.4384900000000003,0.38056100000000004,0.9737819999999999,3.595697,3.6567800000000004,0.03366,0.145627,1.241843,7.5615440000000005,0.8242,1.696895,3.693142,1.560033,0.822198,1.6978970000000002,3.6911410000000004,1.566367
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.6141,42.9646,0.029675,,0.239956,,0.645057,,0.27387,,3.7234949999999998,,1.070552,,0.5030680000000001,,0.023993,,1.787325,,1.782992,,0.028008,0.137053,1.113361,10.6919,0.242648,0.723598,3.3312690000000003,7.462528999999999,0.5457989999999999,1.3280319999999999,4.1943589999999995,5.286753,0.26156599999999997,0.795404,3.4038760000000003,7.265283999999999,1.465016,2.335466,3.334635,1.1413879999999998,0.7847649999999999,1.700029,4.456613,3.9880410000000004,0.44681099999999996,1.140954,3.9745160000000004,5.934651000000001,0.020659,0.10696199999999999,0.9438270000000001,10.90456,1.068789,2.063483,4.377555,2.702848,1.064789,2.062479,4.378223,2.7115169999999997
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.6141,42.9646,0.0,,0.005998,,0.057298,,0.006996,,2.194388,,0.154575,,0.036971,,0.0,,0.393456,,0.390459,,0.0,0.000668,0.067362,39.93197,0.015329,0.077655,1.026243,38.87477,0.085957,0.328868,3.11835,36.40953,0.021984,0.09962299,1.191582,38.679809999999996,1.677182,4.1026169999999995,14.00271,18.0231,0.184915,0.650733,5.207641000000001,33.80214,0.063299,0.237211,2.433737,37.22878,0.0,0.000333,0.044315,39.95535,0.40982799999999997,1.372156,8.221831,29.602729999999998,0.41016,1.36449,8.201823,29.63307
MUR+ADO/LWAL+DNO/FW/HBET:1,74.6141,42.9646,0.609554,,5.286514,,13.33651,,5.962701,,63.35208000000001,,21.083779999999997,,10.62241,,0.457842,,33.13142,,33.04211,,0.662924,2.267144,16.28054,143.1798,4.0929269999999995,10.87531,45.0473,97.69795,8.312615,18.30679,55.692530000000005,67.35155,4.511758,11.57748,45.99388,94.95419,18.73425,27.87227,39.82887,13.21253,11.2973,22.71621,57.64641999999999,50.25628,6.955699000000001,16.0721,53.03997,76.30981,0.516143,1.805853,14.06589,146.1543,14.7562,26.698890000000002,54.940540000000006,33.47293,14.73121,26.68323,54.96651,33.57695
CR+PC/LWAL+DUC/FC/HBET:1-16,74.5502,42.9466,0.0,,0.001999,,0.006661,,0.001,,0.027656,,0.009994,,0.003664,,0.0,,0.022655,,0.019656,,0.0,0.001,0.037679,0.9613209999999999,0.004665,0.01733,0.232647,0.743359,0.008664,0.03965,0.340919,0.604106,0.002331,0.011995,0.184609,0.8000649999999999,0.033332,0.10065,0.48800600000000005,0.350356,0.017658,0.054649,0.41392700000000004,0.503772,0.006662,0.028982,0.288247,0.672445,0.000333,0.000667,0.041987,0.9570129999999999,0.024655,0.0873,0.47629399999999994,0.389096,0.024655,0.085634,0.468955,0.4011
